datetime,Open,High,Low,Close,Volume
2021-01-18,13992.066087,14038.617768,13940.311572,14035.605601,66747
2021-01-19,14033.414933,14275.20984,14032.045766,14275.20984,411204
2021-01-20,14272.197673,14597.511771,14257.958335,14557.532093,430953
2021-01-21,14555.341425,14703.21147,14549.590924,14674.185128,417722
2021-01-22,14670.899127,14679.93563,14568.211596,14628.454948,403956
2021-01-25,14644.611119,14846.700181,14446.355726,14747.846317,658056
2021-01-26,14742.917316,14896.264029,14655.838289,14844.23568,496501
2021-01-27,14842.866513,14881.750858,14113.100458,14306.974516,777278
2021-01-28,14296.84268,14670.899127,14136.650131,14405.554546,615819
2021-01-29,14410.209715,14445.260392,14052.035606,14097.491953,728606
2021-02-01,14073.942279,14536.720753,13940.585405,14497.014908,543284
2021-02-02,14494.00274,14797.683999,14491.812073,14784.813828,483763
2021-02-03,14793.576498,14879.560191,14662.957958,14694.996468,494314
2021-02-04,14709.783472,14862.308685,14617.501611,14856.28435,404961
2021-02-05,14852.724516,14938.708209,14808.363502,14900.37153,425687
2021-02-08,14922.552037,14998.403893,14892.156528,14990.188891,390531
2021-02-09,14987.998224,15044.681741,14933.779207,15003.332895,363949
2021-02-10,15003.880562,15081.923085,14805.351335,14966.91305,548459
2021-02-11,14964.44855,15053.992077,14910.229533,15017.298399,491524
2021-02-12,15018.393733,15138.332769,14946.923211,15138.332769,388732
2021-02-15,15147.916939,15201.314455,15126.557932,15194.46862,60722
2021-02-16,15195.016286,15225.685629,15023.596568,15066.588414,535913
2021-02-17,15069.874415,15099.174591,14834.103843,15005.249729,574320
2021-02-18,15005.523562,15031.537737,14751.953818,14940.351209,563600
2021-02-19,14938.434375,15037.835905,14825.067341,14866.963853,523118
2021-02-22,14880.107857,14928.302539,14474.834401,14481.406403,633648
2021-02-23,14487.978405,14607.095941,13973.445415,14411.852715,849731
2021-02-24,14426.365886,14605.179107,14193.333649,14583.272434,656496
2021-02-25,14573.140597,14626.811947,13980.838917,14007.126925,874326
2021-02-26,14023.009263,14337.370026,13869.388717,14136.102465,827179
2021-03-01,14192.785982,14587.653768,14180.463478,14583.272434,505517
2021-03-02,14581.3556,14598.880939,14292.187512,14299.307181,556895
2021-03-03,14306.42685,14449.641727,13870.48405,13886.092555,742361
2021-03-04,13891.021557,14016.984928,13479.723765,13617.18814,1041780
2021-03-05,13620.474141,13908.273062,13371.011899,13858.709214,1000391
2021-03-08,13927.167568,13977.82675,13452.614257,13509.297774,731393
2021-03-09,13522.715611,14094.205952,13501.082771,14007.126925,629605
2021-03-10,14033.414933,14231.94416,13914.023564,14007.400759,703723
2021-03-11,14015.068094,14369.956202,13937.299404,14286.984677,478922
2021-03-12,14299.581014,14343.394361,13985.494085,14169.510141,389023
2021-03-15,14184.570979,14347.775696,14099.134953,14331.893357,220114
2021-03-16,14332.167191,14563.678604,14301.224015,14416.806006,458632
2021-03-17,14423.656407,14545.867561,14176.767953,14435.16508,596516
2021-03-18,14453.798171,14541.483305,13987.9709,14018.660697,664877
2021-03-19,14022.496922,14137.309643,13900.011751,14057.570975,628185
2021-03-22,14037.293788,14420.916246,14017.016601,14316.79015,467382
2021-03-23,14324.4626,14437.357209,14225.816825,14281.990113,596427
2021-03-24,14303.911396,14408.037492,14012.084312,14025.237082,621395
2021-03-25,14032.909531,14094.837157,13821.095131,14020.852825,737812
2021-03-26,14029.347323,14236.229434,13893.983398,14203.895541,613927
2021-03-29,14222.254616,14252.122365,14037.84182,14209.649878,568617
2021-03-30,14221.432568,14231.297145,14003.863831,14128.54113,509042
2021-03-31,14133.473418,14422.01231,14093.467076,14346.383883,470189
2021-04-01,14352.412236,14613.275508,14347.753963,14607.521171,422771
2021-04-02,14611.083379,14679.58739,14605.603058,14626.154262,41616
